sexo_jefe,edad_jefe,ingr_trim
1,36,46164.3
1,56,39707.72
2,52,15393.42
1,48,56762.77
1,64,30013.73
2,65,34686.31
1,43,62647.09
1,61,83589.91
1,38,73098.2
1,53,115823.13
1,36,87335.69
1,39,57713.08
1,48,66614.74
2,57,52377.01
1,47,166127.9
1,54,186396.9
1,54,62342.32
1,27,109842.22
2,44,42736.75
1,24,64589.77
1,57,36752.47
2,57,108917.03
2,51,73263.07
1,34,82734.27
1,55,44660.34
2,76,33340.33
1,51,61673.81
1,44,75746.76
1,49,28699.12
1,40,21525.29
1,79,18260.63
1,35,82127.52
1,48,51836.81
1,50,77540.67
1,28,65528.67
2,30,83005.15
2,61,51379.8
1,52,85480.8
1,52,26399.98
2,64,62107.95
1,47,70205.21
2,63,17066.22
1,47,30975.64
2,47,137160.64
1,52,34421.69
1,45,35903.73
1,44,124991.47
1,54,49305.87
1,56,38209.25
1,53,16909.22
2,57,10326.09
1,67,113631.99
1,51,111040.53
1,48,61848.41
1,28,65602.64
1,35,52155.21
2,23,129259.68
1,57,35334.12
1,31,42009.27
1,46,94909.43
1,23,28398.91
1,35,41086.95
1,44,22664.34
1,53,27368.79
1,43,90071.27
2,47,63979.34
1,27,42842.71
2,24,90875.37
1,37,45383.38
1,39,79872.58
1,25,114737.32
1,42,35488.87
1,61,54889.99
1,50,16431.63
1,52,89823.83
2,54,189029.48
1,57,21079.93
1,53,82759.89
1,47,84313.29
1,29,8720.82
1,48,24821.29
1,50,36225.25
2,52,53378.82
1,49,34350.56
1,51,29335.6
1,37,47895.59
1,52,72002.87
1,55,48240.59
1,51,89805.89
1,53,138591.11
2,46,29796.98
1,59,12496.47
2,48,18457.56
2,45,33176.76
2,24,12228.26
2,70,5713.7
1,43,101378.85
1,60,42452.84
1,54,29094.91
1,42,84043.06
2,58,42854.43
1,60,44744.31
1,64,41660.41
2,64,49161.43
1,56,178053.92
1,41,73459.58
1,48,37473.51
2,49,33259.27
2,41,43090.8
1,37,70557.03
1,29,44266.29
1,29,45342.95
1,21,9682.22
1,44,76552.4
1,47,69577.79
1,50,33702.65
1,67,39592.95
2,49,28215.68
1,42,14101.39
1,65,22859.13
1,49,70586.18
2,49,20731.17
1,48,45777
1,33,49891.3
2,40,20697.22
1,38,77429.08
1,26,62003.49
1,38,57136.58
1,53,48078.5
1,54,32306.13
2,38,35701.23
1,40,48167.38
1,59,41284.93
1,41,56282.5
2,55,75792.64
1,29,54101.95
1,34,26870.59
1,31,31514.66
1,45,29496.11
1,52,80807.47
1,43,32504.28
1,48,55592.3
2,48,79260.44
1,47,165489.68
1,42,73308.76
1,46,51946.93
1,42,98935.7
1,43,131691.22
1,38,93615.55
1,48,78582.9
1,40,112779.06
1,37,66417.99
1,74,50976.23
1,51,39380.06
1,43,54177.02
1,45,74803.25
2,55,63342.37
1,63,40897.61
1,37,186742.27
1,45,196375.35
2,46,42475.45
1,30,112259.56
1,28,205081.96
1,46,79916.39
2,92,36570.16
1,31,85303.24
1,28,142131.11
1,39,52338.4
1,48,88081.94
1,49,352487.64
1,48,74289.32
1,33,143019.88
1,78,18829
1,63,75774.89
1,49,12934.42
1,45,54934.41
1,49,43596.99
1,49,31826.08
1,41,94651.42
1,47,39400.43
2,45,30477.51
1,49,76414.16
1,44,48906.49
1,23,17055.24
2,25,31151.9
2,47,18526.08
1,69,10245.07
1,51,24257.05
1,26,32859.76
2,67,8200.61
1,39,19442.12
1,26,21203.79
1,56,15086.1
1,62,83830.99
1,31,46726.68
2,57,55113.77
1,33,87641.06
2,42,62874.21
1,45,24559.69
1,79,15616.28
2,35,83452.38
1,64,24267.49
2,55,48541.25
1,52,14023.84
2,71,25118.25
1,58,47617.93
1,59,49126.19
2,56,68666.17
1,71,69792.74
2,48,17124.56
1,21,17307.06
1,45,41104.26
2,44,27124.22
2,65,27978.25
1,52,33562.21
1,42,14642.35
1,38,41777.28
1,26,53772.01
1,45,174246.12
2,45,44854.82
1,48,90750.2
1,28,29861.14
1,53,27945.88
1,27,51725.52
2,28,99972.69
2,42,31436.88
1,32,25267.67
1,38,49228.09
1,44,46670.57
2,42,40119.63
1,20,40826.02
1,35,39102.4
1,41,115325.89
1,49,63737.65
2,44,18713.11
1,43,103884.83
1,46,42368.84
1,51,63358.64
2,55,54971.82
1,41,20619.51
2,75,31988.61
1,46,31305.57
1,45,46790.32
1,59,7803.67
1,46,46455.37
1,46,39160.89
1,45,124595.54
1,38,109957.1
1,44,46250.93
1,52,48924.06
2,63,25843.63
1,73,111795.99
1,63,217412.15
2,78,59697.28
2,52,170213.1
1,41,42922.26
1,39,103661.51
1,59,316690.09
2,75,49507.86
1,33,50991.59
2,44,34925.47
1,45,68871.29
1,30,53903.3
1,31,50248.34
1,41,7017.18
1,70,58068.1
1,65,31298.35
2,37,39479.48
1,37,42408.18
1,28,21345.86
1,24,43113.22
1,68,39569.65
1,42,268335.51
1,46,195731.33
1,43,24053.49
1,54,109053.8
1,67,48437.22
1,60,66482.92
1,31,28542.82
2,69,23399.97
2,51,27345.04
2,57,34698.55
1,43,46641.78
1,45,21480.7
1,42,107238.11
1,27,28737.56
2,48,31165.55
1,22,27386.54
1,40,65474.94
2,63,48817.48
1,48,55520.5
2,41,62170.06
2,40,61030.85
1,65,91290.66
1,48,68967.38
1,25,46467.38
1,38,32282.6
1,46,63157.32
1,51,17350.81
2,48,40428.98
1,46,29424.57
2,30,57295.05
1,33,52685.4
2,36,44762.12
1,63,24294.68
1,43,60590.14
1,20,29605.81
1,55,39600.65
1,32,32163.92
1,34,71827.18
1,48,27750.65
1,34,25671.69
1,49,16199.96
2,62,12067.63
1,56,38704.32
2,67,5950.8
1,44,21152.76
2,31,35785.95
1,42,244619.04
2,33,100553.91
1,36,244242.83
2,32,157059.71
1,45,74252.45
1,22,67205.87
1,25,47470.25
1,39,25058.58
1,54,88843.38
2,53,32929.16
2,43,88246.92
1,39,16204.37
1,31,74384.5
1,45,33364.43
2,18,54038.59
1,38,58410.79
2,40,114020.24
2,47,37271.69
1,40,78008.33
1,66,51038.09
1,32,22116.19
2,33,25863.92
1,43,50518.01
1,34,44242.6
1,60,25608.87
1,23,31028.34
1,36,105936.25
1,30,44051.23
1,29,98726.55
1,31,36157.14
1,55,25369.2
2,50,39317.46
2,39,33522.78
1,48,28117.1
1,64,33410.75
1,32,33034.98
1,31,49981.22
1,29,33554.33
1,58,34241.7
2,50,34843.16
1,45,30094.86
2,37,71796.23
1,38,80237.4
2,33,60732.76
1,31,36432.75
2,45,32272.69
1,37,16641.04
1,38,54697.25
1,41,55478.68
1,26,53905.57
1,26,27187.07
1,33,40412.35
2,19,29162.96
1,33,20381.28
2,37,217272.67
1,45,36177.05
1,57,52097.48
1,28,51357.26
1,31,54257.62
2,45,47051
2,57,78642.66
1,40,30171.45
1,27,42065.21
2,52,57867.26
1,38,74882.92
1,56,62633.73
2,49,61038.54
1,44,48144.6
1,27,190636.42
1,31,53021.83
2,33,153833.96
1,29,50134.9
1,50,76021.09
1,47,93352.08
1,56,13746.13
1,57,79551.52
1,28,39897.48
1,24,132133.38
1,35,24393.43
1,29,51592.17
1,36,81105.97
2,47,22014.53
1,29,44663.04
2,41,44870.59
1,40,146041.6
1,36,10363.92
1,31,62492.85
2,57,81497.69
2,46,25007.32
1,65,19951.06
1,58,43715.01
1,54,63991.3
1,55,41045.56
2,66,47830.53
1,55,83657.03
2,64,53879.34
2,68,12894.03
1,24,14591.8
1,26,24349.16
1,24,58032.78
1,40,18344.25
1,41,36818.48
1,34,62638.82
1,59,90883.58
1,56,64150.53
1,57,286971.2
1,34,56639.64
2,35,16280.91
2,31,37639.11
2,38,31417.33
1,42,43065.65
1,70,82585.25
2,51,94893.21
2,43,68102.24
2,88,46462.77
1,39,35931.27
1,41,65086.66
1,29,41119.61
1,52,64456.34
1,37,55455.37
1,36,23545.9
2,59,9809.42
2,48,29378.71
2,93,10582.55
1,48,24591.24
2,47,40834.13
1,25,10565.21
1,63,40095.25
1,53,18457.56
2,54,31077.11
1,62,170506.5
1,46,93531.13
1,58,56860.07
1,53,74626.82
2,52,66412.01
2,76,12832.43
1,29,41739.3
1,70,112773.47
2,42,50770.94
1,52,10998.78
2,45,107778.6
1,32,42344.25
1,52,36088.51
2,54,40254.05
1,61,8950.8
1,45,8975.4
1,65,86483.58
1,27,29413.31
1,22,22283.58
1,55,62028.58
1,47,43844.23
1,56,81988.98
1,28,23649.3
1,45,15601.34
2,59,21842.98
1,54,73590.17
1,41,64875.25
1,39,43057.93
1,54,66536.84
1,25,50678.69
1,33,31621.09
1,29,19956.5
1,41,97105.67
1,47,59446.99
1,43,331900.33
1,57,46081.95
1,23,24316.14
1,30,42344.25
1,45,36034.41
1,44,60746.41
1,35,263709.25
1,46,46741.73
1,25,53924.33
1,38,52742.43
1,18,44050.43
1,27,79514.78
2,50,9845.3
1,51,149671.02
1,48,67405.94
2,53,177068.85
1,66,22524.86
2,75,7164.39
1,22,19124.97
1,56,51213.5
1,55,183011.13
1,62,63531.39
1,35,32921.31
1,39,31131.13
1,53,35508.18
1,49,25008.17
1,33,120475.95
1,56,42021.18
1,38,77078.69
1,31,64054.44
1,75,51718.09
1,32,24652.17
2,52,54646.1
1,34,25663.54
1,62,50003.15
2,56,34788.21
2,38,29157.34
1,46,50071.81
1,30,25199.28
1,60,33731.94
1,47,92714.28
1,74,99217.66
1,74,79094.46
2,38,42148.31
1,33,26745.53
1,31,23869.63
1,47,20527.69
1,22,28277.29
2,32,30641.03
1,42,45784.14
1,47,31828.18
1,57,30180.7
1,24,17664.55
1,72,96333.8
1,72,52352.44
1,66,67942.58
1,30,16524.59
2,59,29286.87
1,33,34424.33
1,36,24897.67
2,56,32268.38
1,45,196004.85
1,44,43060.78
2,67,287649.97
1,52,145319.62
1,59,277755.77
2,39,48116.88
1,49,90100.91
1,65,41888.39
1,30,41075.3
1,85,66062.84
2,84,15147.53
1,71,14092.55
1,37,55015.19
1,23,45957.97
1,79,38704.88
2,55,98086.12
2,54,28290.67
2,65,117049.14
1,63,24791.77
1,27,30738.87
1,59,10771.9
1,42,25112.6
1,35,28942.27
1,24,31360.82
1,42,53711.18
2,56,46243.58
2,47,17196.28
1,46,20802.22
1,33,30406.69
1,42,56674.92
2,43,63835.33
1,34,73846.3
1,55,47513.09
1,53,29409.82
1,24,14065.57
1,48,58094.23
1,50,16452.11
1,38,81034.69
1,70,88784.9
1,47,89753.82
1,50,56349.82
1,36,110441.04
2,77,18239.42
2,54,54660.82
2,61,17819.55
1,63,40059.22
1,57,148356.95
1,67,16722.92
1,65,159848.7
2,78,14779.51
1,48,19611.28
1,70,15445.11
1,33,20449.17
1,62,11985.72
1,43,16194.38
2,66,73938.78
1,66,4035.73
1,68,24576.38
1,73,24801.63
1,72,7384.22
1,50,20008.6
1,72,4721.3
1,67,20777.81
2,35,20366.25
1,57,66919.65
1,70,135017.42
1,66,46917.9
1,22,1873.77
1,34,85885.4
1,33,21504.08
1,45,49316.54
1,49,26608.04
1,30,34243.17
1,57,15704.07
1,68,9684.21
1,25,32297.44
1,62,29376.24
1,25,16450.94
1,39,39467.61
1,42,11633.1
1,57,19089
2,39,17433.5
2,65,63937.12
1,57,70638.78
1,35,197793.68
1,38,120688.51
1,64,57294.48
2,82,362575.74
2,45,46279.37
1,61,21136.58
1,25,62303.04
1,26,13088.83
1,39,608964.57
1,62,15604.82
1,58,181568.31
1,50,93850.04
2,36,27451.25
1,35,29543.47
1,50,31859.72
2,32,29773.84
1,30,66053.71
1,27,78493.24
1,41,44913.42
2,43,91538.11
1,62,104160.73
1,50,25277.64
1,53,47385.23
1,62,22647.51
1,30,16457.9
